"festival_date","staff_category","required_staff_count"
"2017-08-12","assistant","6"
"2017-08-12","security","9"
"2017-08-12","technician","3"
"2017-08-13","assistant","6"
"2017-08-13","security","9"
"2017-08-13","technician","3"
"2018-08-12","assistant","6"
"2018-08-12","security","9"
"2018-08-12","technician","3"
"2019-08-12","assistant","6"
"2019-08-12","security","9"
"2019-08-12","technician","3"
"2019-08-13","assistant","6"
"2019-08-13","security","9"
"2019-08-13","technician","3"
"2020-08-12","assistant","6"
"2020-08-12","security","9"
"2020-08-12","technician","3"
"2021-08-12","assistant","6"
"2021-08-12","security","9"
"2021-08-12","technician","3"
"2021-08-13","assistant","6"
"2021-08-13","security","9"
"2021-08-13","technician","3"
"2022-08-12","assistant","6"
"2022-08-12","security","9"
"2022-08-12","technician","3"
"2023-08-12","assistant","6"
"2023-08-12","security","9"
"2023-08-12","technician","3"
"2023-08-13","assistant","6"
"2023-08-13","security","9"
"2023-08-13","technician","3"
"2024-08-12","assistant","6"
"2024-08-12","security","9"
"2024-08-12","technician","3"
"2025-08-12","assistant","6"
"2025-08-12","security","9"
"2025-08-12","technician","3"
"2025-08-13","assistant","6"
"2025-08-13","security","9"
"2025-08-13","technician","3"
"2026-08-12","assistant","6"
"2026-08-12","security","9"
"2026-08-12","technician","3"
